Code,Description
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta Intl"
ORD,"Chicago, IL: O'Hare International"
MDW,"Chicago, IL: Midway International"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth Intl"
DEN,"Denver, CO: Denver International"
DTW,"Detroit, MI: Detroit Metropolitan"
IAH,"Houston, TX: George Bush Intercontinental"
HOU,"Houston, TX: William P. Hobby Airport"
LAX,"Los Angeles, CA: Los Angeles Intl"
MIA,"Miami, FL: Miami International"
JFK,"New York, NY: John F. Kennedy Intl"
LGA,"New York, NY: LaGuardia"
EWR,"Newark, NJ: Newark Liberty Intl"
PHX,"Phoenix, AZ: Sky Harbor Intl"
SFO,"San Francisco, CA: San Francisco Intl"
SEA,"Seattle, WA: Seattle-Tacoma Intl"
SAN,"San Diego, CA: San Diego Intl"
SLC,"Salt Lake City, UT: Salt Lake City Intl"
STL,"St. Louis, MO: Lambert International"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood Intl"
BOS,"Boston, MA: Logan International"
LAS,"Las Vegas, NV: Harry Reid International"
MCO,"Orlando, FL: Orlando International"
MSP,"Minneapolis, MN: Minneapolis-Saint Paul Intl"
MCI,"Kansas City, MO: Kansas City International"
PHL,"Philadelphia, PA: Philadelphia International"
PIT,"Pittsburgh, PA: Pittsburgh International"
BWI,"Baltimore, MD: Baltimore/Washington Intl"
AUS,"Austin, TX: Austin-Bergstrom Intl"
CLT,"Charlotte, NC: Charlotte Douglas Intl"
BNA,"Nashville, TN: Nashville International"
TPA,"Tampa, FL: Tampa International"
RSW,"Fort Myers, FL: Southwest Florida Intl"
MSY,"New Orleans, LA: Louis Armstrong Intl"
RDU,"Raleigh-Durham, NC: Raleigh-Durham Intl"
SMF,"Sacramento, CA: Sacramento International"
SJC,"San Jose, CA: Norman Y. Mineta San Jose Intl"
OAK,"Oakland, CA: Metropolitan Oakland Intl"
PDX,"Portland, OR: Portland International"
ABQ,"Albuquerque, NM: Albuquerque Intl Sunport"
SAT,"San Antonio, TX: San Antonio International"
IND,"Indianapolis, IN: Indianapolis International"
MKE,"Milwaukee, WI: General Mitchell Intl"
RNO,"Reno, NV: Reno/Tahoe International"
BUR,"Burbank, CA: Hollywood Burbank Airport"
LGB,"Long Beach, CA: Long Beach Airport"
ONT,"Ontario, CA: Ontario International"
SNA,"Santa Ana, CA: John Wayne Airport"
PSP,"Palm Springs, CA: Palm Springs Intl"
TUC,"Tucson, AZ: Tucson International"
ORD,"Chicago, IL: Chicago O'Hare International Airport"
,Unknown Airport
DAL,
