Code,Description
10135,"Atlanta, GA: Hartsfield-Jackson Atlanta Intl"
10292,"Chicago, IL: Midway International"
11298,"Chicago, IL: O'Hare International"
11401,"Dallas/Fort Worth, TX: Dallas/Fort Worth Intl"
11205,"Denver, CO: Denver International"
11367,"Detroit, MI: Detroit Metropolitan"
12300,"Houston, TX: George Bush Intercontinental"
12478,"Los Angeles, CA: Los Angeles International"
13296,"Miami, FL: Miami International"
13660,"New York, NY: John F. Kennedy Intl"
11471,"New York, NY: LaGuardia"
11432,"Newark, NJ: Newark Liberty International"
14005,"Phoenix, AZ: Sky Harbor International"
14487,"San Francisco, CA: San Francisco Intl"
14593,"Seattle, WA: Seattle-Tacoma International"
14493,"San Diego, CA: San Diego International"
14731,"Salt Lake City, UT: Salt Lake City Intl"
14603,"St. Louis, MO: Lambert International"
12194,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood Intl"
10214,"Boston, MA: Logan International"
12680,"Las Vegas, NV: Harry Reid International"
12850,"Orlando, FL: Orlando International"
13066,"Minneapolis, MN: Minneapolis-Saint Paul Intl"
12934,"Kansas City, MO: Kansas City International"
13904,"Philadelphia, PA: Philadelphia International"
10228,"Baltimore, MD: Baltimore/Washington Intl"
10467,"Hartford, CT: Bradley International"
10804,"Cleveland, OH: Cleveland Hopkins International"
10823,"Charlotte, NC: Charlotte Douglas International"
10992,"Dallas, TX: Dallas Love Field"
11298,"Chicago, IL: O'Hare International Airport"
99999,
0,Unknown Airport
