Code,Description
1013503,"Atlanta, GA: Hartsfield-Jackson Atlanta Intl (2005-)"
1029201,"Chicago, IL: Midway International (2005-)"
1129803,"Chicago, IL: O'Hare International (2005-)"
1140101,"Dallas/Fort Worth, TX: Dallas/Fort Worth Intl (2005-)"
1120501,"Denver, CO: Denver International (2005-)"
1136701,"Detroit, MI: Detroit Metropolitan (2005-)"
1230001,"Houston, TX: George Bush Intercontinental (2005-)"
1247801,"Los Angeles, CA: Los Angeles International (2005-)"
1329603,"Miami, FL: Miami International (2005-)"
1366001,"New York, NY: John F. Kennedy Intl (2005-)"
1147101,"New York, NY: LaGuardia (2005-)"
1143201,"Newark, NJ: Newark Liberty International (2005-)"
1400501,"Phoenix, AZ: Sky Harbor International (2005-)"
1448703,"San Francisco, CA: San Francisco Intl (2005-)"
1459301,"Seattle, WA: Seattle-Tacoma International (2005-)"
1449303,"San Diego, CA: San Diego International (2005-)"
1473101,"Salt Lake City, UT: Salt Lake City Intl (2005-)"
1460301,"St. Louis, MO: Lambert International (2005-)"
1219401,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood Intl (2005-)"
1021401,"Boston, MA: Logan International (2005-)"
1013401,"Atlanta, GA: Hartsfield-Jackson Atlanta Intl (pre-2005)"
1129701,"Chicago, IL: O'Hare International (pre-2005)"
10135,"Atlanta, GA: (SeqID igual a AirportID - dato erroneo)"
9999999,
