Code,Description
AA,American Airlines Inc. - AA
DL,Delta Air Lines Inc. - DL
UA,United Air Lines Inc. - UA
WN,Southwest Airlines Co. - WN
AS,Alaska Airlines Inc. - AS
B6,JetBlue Airways - B6
HA,Hawaiian Airlines Inc. - HA
F9,Frontier Airlines Inc. - F9
G4,Allegiant Air - G4
NK,Spirit Air Lines - NK
SY,Sun Country Airlines - SY
OO,SkyWest Airlines Inc. - OO
YX,Republic Airlines - YX
9E,Endeavor Air Inc. - 9E
MQ,Envoy Air Inc. - MQ
OH,PSA Airlines Inc. - OH
YV,Mesa Air Inc. - YV
PT,Piedmont Airlines Inc. - PT
C5,CommutAir - C5
BW,Caribbean Airlines Limited - BW
9K,Cape Air - 9K
KS,Peninsula Airways Inc. - KS
CP,Compass Airlines - CP
CO,Continental Airlines Inc. - CO
AA,American Airlines - AA
XX,
