Code,Description
AA,American Airlines Inc.
DL,Delta Air Lines Inc.
UA,United Air Lines Inc.
WN,Southwest Airlines Co.
AS,Alaska Airlines Inc.
B6,JetBlue Airways
HA,Hawaiian Airlines Inc.
F9,Frontier Airlines Inc.
G4,Allegiant Air
NK,Spirit Air Lines
SY,Sun Country Airlines
OO,SkyWest Airlines Inc.
YX,Republic Airlines
9E,Endeavor Air Inc.
MQ,Envoy Air Inc.
OH,PSA Airlines Inc.
YV,Mesa Air Inc.
PT,Piedmont Airlines Inc.
C5,CommutAir
BW,Caribbean Airlines Limited
9K,Cape Air
KS,Peninsula Airways Inc.
CP,Compass Airlines
CO,Continental Airlines Inc.
US,US Airways Inc.
FL,AirTran Airways Corporation
VX,Virgin America
AA,American Airlines
DL,Delta Air Lines
WN,Southwest Airlines
OO,
9E,
C5,
AA(1),American Airlines Inc.
CO(1),Continental Airlines Inc.
US(1),US Airways Inc.
PA,Pan American World Airways
PA(1),Pan American World Airways
EA,Eastern Air Lines
 AA,American Airlines Inc.
aa,american airlines inc.
BW ,Caribbean Airlines Limited
