Code,Description
1,New England
2,Middle Atlantic
3,South Atlantic
4,East South Central
5,East North Central
6,West North Central
7,West South Central
8,Mountain
9,Pacific
10,Alaska
11,Hawaii
12,U.S. Territories - Atlantic
13,U.S. Territories - Pacific
21,Atlantic Ocean Islands
22,Caribbean
31,Central America
32,Colombia/Venezuela
33,Brazil
34,Southern South America
35,Andes Countries
40,North Atlantic Europe
41,Southern Europe
42,Eastern Europe
43,Middle East
44,Africa
51,Indian Ocean Islands
61,Southeast Asia
71,Southwest Pacific
81,Canada
91,Mexico
93,Greenland
97,North Pacific
99,Unknown/Not Assigned
9,Pacific Region
0,
